Name,Ranking,Team,receiving_yds,receiving_rec,receiving_tar,receiving_yac_yds,rushing_yds,rushing_att,rushing_tds,rushing_twopta,rushing_twoptm,receiving_tds,puntret_yds,puntret_tot,puntret_fair,penalty_yds,penalty,fumbles_tot,fumbles_notforced,fumbles_oob,kickret_yds,kickret_ret,rushing_twoptmissed,defense_tkl,fumbles_forced,receiving_twopta,receiving_twoptmissed,fumbles_lost,fumbles_rec_yds,fumbles_rec,passing_yds,passing_att,passing_cmp,passing_tds,passing_cmp_air_yds,defense_pass_def,passing_incmp,passing_incmp_air_yds,receiving_twoptm,defense_tkl_primary,puntret_tds,passing_sk_yds,passing_sk,defense_ast,fumbles_rec_tds,defense_tkl_loss,defense_tkl_loss_yds,defense_sk_yds,defense_sk,defense_qbhit,defense_int_yds,defense_int,defense_ffum,defense_frec_yds,defense_frec
Alvin Kamara,4,NO,709.0,81.0,105.0,642.0,883.0,194.0,14.0,3.0,3.0,4.0,82.0,12.0,9.0,18.0,2.0,1.0,1.0,1.0,126.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saquon Barkley,1,NYG,721.0,91.0,121.0,768.0,1307.0,261.0,11.0,2.0,1.0,4.0,,,,5.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Kelce,1,KC,1336.0,103.0,150.0,569.0,,,,,,10.0,,,,39.0,6.0,2.0,,1.0,,,,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian McCaffrey,2,CAR,867.0,107.0,124.0,855.0,1098.0,219.0,7.0,,,6.0,,,,,,4.0,,1.0,,,,2.0,4.0,1.0,1.0,1.0,0.0,1.0,50.0,1.0,1.0,1.0,13.0,,,,,,,,,,,,,,,,,,,,
DeAndre Hopkins,2,HOU,1572.0,115.0,163.0,387.0,-7.0,1.0,,,,11.0,,,,10.0,1.0,2.0,,,,,,2.0,2.0,,,2.0,,,,1.0,,,,1.0,1.0,17.0,,,,,,,,,,,,,,,,,
Michael Thomas,6,NO,1405.0,125.0,147.0,514.0,,,,,,9.0,,,,40.0,3.0,2.0,,,,,,1.0,2.0,1.0,1.0,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Gurley II,3,LAR,580.0,59.0,81.0,587.0,1251.0,256.0,17.0,4.0,2.0,4.0,,,,5.0,1.0,1.0,,,,,2.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Davante Adams,3,GB,1386.0,111.0,169.0,475.0,,,,,,13.0,,,,19.0,2.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
JuJu Smith-Schuster,8,PIT,1426.0,111.0,166.0,648.0,13.0,1.0,,,,7.0,,,,15.0,2.0,1.0,,,,,,3.0,1.0,1.0,,1.0,0.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Julio Jones,4,ATL,1677.0,113.0,170.0,448.0,12.0,2.0,,,,8.0,,,,15.0,1.0,2.0,,,,,,4.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odell Beckham Jr.,15,CLE,1052.0,77.0,124.0,305.0,19.0,5.0,,,,6.0,34.0,8.0,2.0,13.0,2.0,2.0,2.0,,26.0,1.0,,2.0,,1.0,1.0,1.0,0.0,1.0,106.0,2.0,2.0,2.0,68.0,,,,,,,,,,,,,,,,,,,,
David Johnson,9,ARI,429.0,47.0,62.0,374.0,201.0,40.0,,2.0,2.0,3.0,,,,,,1.0,,,,,,3.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Tyreek Hill,1,KC,1479.0,87.0,137.0,527.0,151.0,22.0,1.0,,,12.0,213.0,20.0,3.0,55.0,5.0,,,,,,,1.0,,,,,0.0,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,
Zach Ertz,2,PHI,1163.0,116.0,156.0,353.0,,,,,,8.0,,,,29.0,4.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio Brown,5,OAK,1297.0,104.0,168.0,485.0,,,,,,15.0,,,,20.0,3.0,,,,,,,3.0,,,,,,,,1.0,,,,,1.0,12.0,,,,,,,,,,,,,,,,,
James Conner,6,PIT,497.0,55.0,71.0,548.0,973.0,215.0,12.0,,,1.0,,,,15.0,1.0,4.0,,1.0,,,,3.0,4.0,2.0,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,
Ezekiel Elliott,5,DAL,567.0,77.0,95.0,576.0,1434.0,304.0,6.0,,,3.0,,,,25.0,3.0,6.0,,1.0,,,,2.0,6.0,,,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
George Kittle,3,SF,1377.0,88.0,136.0,870.0,10.0,1.0,,,,5.0,,,,35.0,6.0,,,,,,,2.0,,2.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Joe Mixon,10,CIN,296.0,43.0,55.0,333.0,1168.0,237.0,8.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keenan Allen,12,LAC,1138.0,92.0,128.0,395.0,75.0,9.0,,,,6.0,0.0,1.0,1.0,35.0,3.0,3.0,2.0,,25.0,1.0,,3.0,1.0,,,1.0,-19.0,1.0,,,,,,,,,,,,-7.0,1.0,,,,,,,,,,,,
Nick Chubb,17,CLE,149.0,20.0,29.0,181.0,996.0,192.0,8.0,,,2.0,,,,5.0,1.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,
Mike Evans,9,TB,1524.0,86.0,138.0,282.0,,,,,,8.0,,,,35.0,4.0,2.0,1.0,1.0,,,,3.0,1.0,1.0,1.0,1.0,-3.0,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Dalvin Cook,30,MIN,305.0,40.0,49.0,373.0,615.0,133.0,2.0,,,2.0,,,,,,2.0,,,,,,1.0,2.0,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Amari Cooper,19,DAL,1005.0,75.0,107.0,415.0,20.0,2.0,,,,7.0,,,,,,2.0,,,,,,1.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Thielen,7,MIN,1373.0,113.0,153.0,416.0,30.0,5.0,,,,9.0,,,1.0,5.0,1.0,1.0,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Julian Edelman,20,NE,850.0,74.0,108.0,348.0,107.0,9.0,,,,6.0,154.0,20.0,11.0,36.0,6.0,1.0,1.0,,,,,2.0,,,,,0.0,1.0,43.0,2.0,2.0,,-2.0,,,,,,,,,1.0,,,,,,,,,,,
Leonard Fournette,40,JAX,185.0,22.0,26.0,213.0,439.0,133.0,5.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandin Cooks,13,LAR,1204.0,80.0,117.0,346.0,68.0,10.0,1.0,,,5.0,,,,15.0,2.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stefon Diggs,10,MIN,1021.0,102.0,149.0,448.0,62.0,10.0,,,,9.0,,,,35.0,5.0,,,,,,,1.0,,1.0,,,0.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Devonta Freeman,105,ATL,23.0,5.0,7.0,20.0,68.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evan Engram,13,NYG,577.0,45.0,64.0,388.0,36.0,3.0,,,,3.0,,,,14.0,2.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Melvin Gordon,8,LAC,477.0,47.0,63.0,520.0,844.0,163.0,9.0,1.0,1.0,4.0,,,,,,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
T.Y. Hilton,14,IND,1270.0,76.0,120.0,455.0,,,,,,6.0,2.0,1.0,,10.0,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derrick Henry,16,TEN,91.0,14.0,17.0,104.0,975.0,194.0,11.0,,,,,,,5.0,1.0,1.0,,,,,,2.0,1.0,,,1.0,,,14.0,2.0,2.0,,-7.0,,,,,,,,,1.0,,,,,,,,,,,
Kerryon Johnson,34,DET,,,,,,,,,,,,,,5.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,
Robert Woods,11,LAR,1219.0,86.0,130.0,420.0,157.0,19.0,1.0,,,6.0,,,1.0,45.0,5.0,,,,0.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Carson,15,SEA,163.0,20.0,24.0,163.0,1151.0,247.0,9.0,,,,,,,,,3.0,,1.0,,,,1.0,3.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Jones,24,GB,,,,,,,,,,,,,,15.0,1.0,,,,,,,21.0,,,,,,,,,,,,2.0,,,,4.0,,,,8.0,,5.0,9.0,0.0,1.0,2.0,,,,,
O.J. Howard,14,TB,565.0,34.0,48.0,209.0,,,,,,5.0,,,,10.0,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jared Cook,5,NO,896.0,68.0,101.0,343.0,,,,,,6.0,,,,30.0,4.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Ingram II,32,BAL,,,,,0.0,1.0,,,,,,,,62.0,10.0,,,,,,,26.0,,,,,,,,,,,,3.0,,,,1.0,,,,14.0,,8.0,41.0,-61.0,7.0,16.0,8.0,1.0,1.0,,
Kenny Golladay,21,DET,1063.0,70.0,119.0,350.0,8.0,1.0,,,,5.0,,,,26.0,3.0,1.0,,,,,,2.0,1.0,3.0,3.0,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0
Tyler Lockett,16,SEA,965.0,57.0,70.0,213.0,69.0,13.0,,,,10.0,143.0,25.0,20.0,,,2.0,,1.0,493.0,19.0,,,2.0,1.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,
Cooper Kupp,51,LAR,566.0,40.0,55.0,303.0,25.0,4.0,,,,6.0,4.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alshon Jeffery,26,PHI,843.0,65.0,92.0,272.0,,,,,,6.0,,,,20.0,3.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony Michel,35,NE,50.0,7.0,11.0,50.0,931.0,209.0,6.0,,,,,,,5.0,1.0,1.0,,,77.0,4.0,,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marlon Mack,21,IND,103.0,17.0,26.0,126.0,908.0,195.0,9.0,2.0,2.0,1.0,,,,,,2.0,,,,,,2.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
