Name,Ranking,Team,receiving_yds,receiving_rec,receiving_tar,receiving_yac_yds,rushing_yds,rushing_att,rushing_tds,rushing_twopta,rushing_twoptm,receiving_tds,puntret_yds,puntret_tot,puntret_fair,penalty_yds,penalty,fumbles_tot,fumbles_notforced,fumbles_oob,kickret_yds,kickret_ret,rushing_twoptmissed,defense_tkl,fumbles_forced,fumbles_lost,receiving_twopta,receiving_twoptmissed,fumbles_rec_yds,fumbles_rec,passing_yds,passing_att,passing_cmp,passing_tds,passing_cmp_air_yds,receiving_twoptm,defense_tkl_primary,defense_ast,defense_tkl_loss,defense_tkl_loss_yds,defense_pass_def,defense_sk_yds,defense_sk,defense_qbhit,defense_int_yds,defense_int,defense_ffum,defense_tds,defense_int_tds
Alvin Kamara,4,NO,709.0,81.0,105.0,642.0,883.0,194.0,14.0,3.0,3.0,4.0,82.0,12.0,9.0,18.0,2.0,1.0,1.0,1.0,126.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saquon Barkley,1,NYG,721.0,91.0,121.0,768.0,1307.0,261.0,11.0,2.0,1.0,4.0,,,,5.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Christian McCaffrey,2,CAR,867.0,107.0,124.0,855.0,1098.0,219.0,7.0,,,6.0,,,,,,4.0,,1.0,,,,2.0,4.0,1.0,1.0,1.0,0.0,1.0,50.0,1.0,1.0,1.0,13.0,,,,,,,,,,,,,,
Todd Gurley II,3,LAR,580.0,59.0,81.0,587.0,1251.0,256.0,17.0,4.0,2.0,4.0,,,,5.0,1.0,1.0,,,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,
David Johnson,9,ARI,429.0,47.0,62.0,374.0,201.0,40.0,,2.0,2.0,3.0,,,,,,1.0,,,,,,3.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,
James Conner,6,PIT,497.0,55.0,71.0,548.0,973.0,215.0,12.0,,,1.0,,,,15.0,1.0,4.0,,1.0,,,,3.0,4.0,2.0,2.0,,,,,,,,,2.0,,,,,,,,,,,,,
Ezekiel Elliott,5,DAL,567.0,77.0,95.0,576.0,1434.0,304.0,6.0,,,3.0,,,,25.0,3.0,6.0,,1.0,,,,2.0,6.0,1.0,,,0.0,1.0,,,,,,,,,,,,,,,,,,,
Joe Mixon,10,CIN,296.0,43.0,55.0,333.0,1168.0,237.0,8.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Chubb,17,CLE,149.0,20.0,29.0,181.0,996.0,192.0,8.0,,,2.0,,,,5.0,1.0,,,,,,,3.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,
Dalvin Cook,30,MIN,305.0,40.0,49.0,373.0,615.0,133.0,2.0,,,2.0,,,,,,2.0,,,,,,1.0,2.0,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,
Leonard Fournette,40,JAX,185.0,22.0,26.0,213.0,439.0,133.0,5.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devonta Freeman,105,ATL,23.0,5.0,7.0,20.0,68.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melvin Gordon,8,LAC,477.0,47.0,63.0,520.0,844.0,163.0,9.0,1.0,1.0,4.0,,,,,,1.0,,1.0,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,
Derrick Henry,16,TEN,91.0,14.0,17.0,104.0,975.0,194.0,11.0,,,,,,,5.0,1.0,1.0,,,,,,2.0,1.0,1.0,,,,,14.0,2.0,2.0,,-7.0,,,1.0,,,,,,,,,,,
Kerryon Johnson,34,DET,,,,,,,,,,,,,,5.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,
Chris Carson,15,SEA,163.0,20.0,24.0,163.0,1151.0,247.0,9.0,,,,,,,,,3.0,,1.0,,,,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
Aaron Jones,24,GB,,,,,,,,,,,,,,15.0,1.0,,,,,,,21.0,,,,,,,,,,,,,4.0,8.0,5.0,9.0,2.0,0.0,1.0,2.0,,,,,
Mark Ingram II,32,BAL,,,,,0.0,1.0,,,,,,,,62.0,10.0,,,,,,,26.0,,,,,,,,,,,,,1.0,14.0,8.0,41.0,3.0,-61.0,7.0,16.0,8.0,1.0,1.0,,
Sony Michel,35,NE,50.0,7.0,11.0,50.0,931.0,209.0,6.0,,,,,,,5.0,1.0,1.0,,,77.0,4.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
Marlon Mack,21,IND,103.0,17.0,26.0,126.0,908.0,195.0,9.0,2.0,2.0,1.0,,,,,,2.0,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
James White,7,NE,751.0,87.0,123.0,665.0,425.0,94.0,5.0,,,7.0,,,,10.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Damien Williams,48,KC,,,,,36.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phillip Lindsay,13,DEN,241.0,35.0,47.0,298.0,1037.0,192.0,9.0,1.0,,1.0,23.0,3.0,,15.0,1.0,,,,163.0,7.0,1.0,2.0,,,,,7.0,1.0,,,,,,,,,,,,,,,,,,,
Kenyan Drake,14,MIA,477.0,53.0,73.0,423.0,535.0,120.0,4.0,,,5.0,,,,,,2.0,,,213.0,10.0,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
Tarik Cohen,11,CHI,725.0,71.0,91.0,520.0,444.0,99.0,3.0,,,5.0,411.0,33.0,21.0,,,7.0,3.0,1.0,22.0,2.0,,,4.0,3.0,,,-3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
Austin Ekeler,25,LAC,404.0,39.0,53.0,411.0,554.0,106.0,3.0,,,3.0,,,,,,1.0,,,,,,9.0,1.0,1.0,,,0.0,2.0,,,,,,,,,,,,,,,,,,,
Tevin Coleman,18,SF,276.0,32.0,44.0,275.0,800.0,167.0,4.0,,,5.0,,,,5.0,1.0,2.0,,1.0,,,,,2.0,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,
Duke Johnson Jr.,37,HOU,429.0,47.0,62.0,374.0,201.0,40.0,,2.0,2.0,3.0,,,,,,1.0,,,,,,3.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,
LeSean McCoy,39,KC,238.0,34.0,46.0,288.0,514.0,161.0,3.0,,,,,,,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rashaad Penny,67,SEA,75.0,9.0,12.0,73.0,419.0,85.0,2.0,,,,,,,,,,,,140.0,8.0,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,
Matt Breida,26,SF,261.0,27.0,31.0,235.0,814.0,153.0,3.0,,,2.0,,,,,,1.0,,,,,,1.0,1.0,1.0,,,0.0,2.0,,,,,,,,,,,,,,,,,,,
Jordan Howard,20,PHI,145.0,20.0,27.0,127.0,935.0,250.0,9.0,,,,,,,,,2.0,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
Royce Freeman,47,DEN,72.0,14.0,20.0,59.0,521.0,130.0,5.0,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
Latavius Murray,38,NO,141.0,22.0,26.0,115.0,578.0,140.0,6.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,
Peyton Barber,31,TB,92.0,20.0,29.0,64.0,871.0,234.0,5.0,,,1.0,,,,15.0,1.0,1.0,1.0,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Darrell Henderson,0,LAR,,,,,19.0,2.0,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
Nyheim Hines,27,IND,425.0,63.0,81.0,349.0,314.0,85.0,2.0,,,2.0,,,,5.0,1.0,1.0,,1.0,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Kareem Hunt,12,CLE,378.0,26.0,35.0,338.0,824.0,181.0,7.0,,,7.0,,,,36.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Richard,29,OAK,607.0,68.0,81.0,495.0,259.0,55.0,1.0,1.0,,,3.0,2.0,2.0,7.0,2.0,3.0,1.0,,,,1.0,5.0,2.0,2.0,,,0.0,1.0,,,,,,,1.0,,,,,,,,,,,,
Dion Lewis,28,TEN,380.0,56.0,63.0,446.0,512.0,152.0,1.0,,,1.0,,,,,,1.0,,,,,,,1.0,1.0,,,0.0,2.0,,,,,,,,,,,,,,,,,,,
Ronald Jones,94,TB,,,,,,,,,,,,,,,,,,,,,,57.0,,,,,,,,,,,,,4.0,15.0,4.0,11.0,9.0,,,1.0,109.0,3.0,,1.0,1.0
Carlos Hyde,49,HOU,33.0,10.0,16.0,59.0,571.0,172.0,5.0,,,,,,,,,2.0,,,,,,1.0,2.0,1.0,,,0.0,1.0,,,,,,,,,,,,,,,,,,,
Kalen Ballage,88,MIA,56.0,9.0,11.0,76.0,191.0,36.0,1.0,,,,,,,15.0,1.0,1.0,1.0,,26.0,2.0,,4.0,,1.0,,,-6.0,,,,,,,,,,,,,,,,,,,,
